id,set,target
2008_000008.jpg,train,"['horse', 'person']"
2008_000015.jpg,train,"['bottle', 'bottle']"
2008_000019.jpg,train,"['dog', 'dog', 'dog']"
2008_000023.jpg,train,"['tvmonitor', 'bottle', 'person', 'person', 'person']"
2008_000028.jpg,train,"['car', 'car']"
2008_000033.jpg,train,['aeroplane']
2008_000036.jpg,train,"['bicycle', 'bicycle', 'person', 'boat', 'boat']"
2008_000037.jpg,train,['aeroplane']
2008_000041.jpg,train,"['person', 'person', 'person', 'person', 'person', 'person', 'chair', 'chair', 'chair', 'diningtable', 'pottedplant', 'person']"
2008_000045.jpg,train,['train']
2008_000053.jpg,train,['dog']
2008_000060.jpg,train,['cat']
2008_000066.jpg,train,['dog']
2008_000070.jpg,train,"['tvmonitor', 'chair', 'chair']"
2008_000074.jpg,train,['car']
2008_000085.jpg,train,['car']
2008_000089.jpg,train,['chair']
2008_000093.jpg,train,"['tvmonitor', 'chair', 'chair', 'sofa', 'sofa']"
2008_000095.jpg,train,['bird']
2008_000096.jpg,train,"['person', 'cat']"
2008_000097.jpg,train,['bird']
2008_000099.jpg,train,"['dog', 'sheep']"
2008_000103.jpg,train,['bird']
2008_000105.jpg,train,['car']
2008_000109.jpg,train,"['motorbike', 'car', 'person']"
2008_000112.jpg,train,"['cat', 'bottle']"
2008_000128.jpg,train,"['sofa', 'person', 'person']"
2008_000131.jpg,train,['bird']
2008_000132.jpg,train,"['person', 'person', 'bus']"
2008_000141.jpg,train,"['horse', 'person']"
2008_000142.jpg,train,"['horse', 'person', 'person']"
2008_000143.jpg,train,"['car', 'car', 'car', 'motorbike', 'person']"
2008_000144.jpg,train,"['motorbike', 'person']"
2008_000148.jpg,train,['boat']
2008_000151.jpg,train,['aeroplane']
2008_000154.jpg,train,['bottle']
2008_000162.jpg,train,['dog']
2008_000176.jpg,train,"['car', 'person']"
2008_000181.jpg,train,['cat']
2008_000185.jpg,train,"['person', 'car']"
2008_000187.jpg,train,['car']
2008_000188.jpg,train,['pottedplant']
2008_000189.jpg,train,"['person', 'car']"
2008_000191.jpg,train,"['boat', 'person', 'person', 'bicycle']"
2008_000192.jpg,train,['bird']
2008_000193.jpg,train,"['car', 'person']"
2008_000196.jpg,train,"['bicycle', 'pottedplant', 'bottle', 'bottle', 'bicycle', 'cat']"
2008_000197.jpg,train,['aeroplane']
2008_000199.jpg,train,"['person', 'car']"
2008_000202.jpg,train,"['person', 'person', 'person', 'person', 'tvmonitor', 'bottle', 'chair']"
2008_000207.jpg,train,['person']
2008_000217.jpg,train,"['person', 'person']"
2008_000226.jpg,train,"['person', 'person', 'person', 'person', 'car']"
2008_000227.jpg,train,"['cat', 'chair', 'diningtable']"
2008_000235.jpg,train,"['person', 'boat']"
2008_000236.jpg,train,['person']
2008_000237.jpg,train,"['pottedplant', 'motorbike', 'car', 'person', 'person']"
2008_000238.jpg,train,['bus']
2008_000252.jpg,train,"['person', 'person', 'person', 'car', 'bus']"
2008_000255.jpg,train,['person']
2008_000259.jpg,train,"['person', 'person', 'person']"
2008_000260.jpg,train,"['person', 'car', 'car', 'car', 'car']"
2008_000262.jpg,train,['boat']
2008_000266.jpg,train,"['person', 'person', 'person', 'person', 'person', 'person']"
2008_000273.jpg,train,"['dog', 'dog', 'chair', 'chair']"
2008_000275.jpg,train,"['person', 'person', 'person', 'person', 'person', 'person', 'pottedplant', 'pottedplant']"
2008_000283.jpg,train,"['person', 'person']"
2008_000284.jpg,train,"['person', 'pottedplant']"
2008_000287.jpg,train,"['pottedplant', 'pottedplant']"
2008_000289.jpg,train,['person']
2008_000290.jpg,train,"['person', 'bottle', 'diningtable']"
2008_000291.jpg,train,"['aeroplane', 'aeroplane']"
2008_000297.jpg,train,"['person', 'chair', 'chair', 'chair', 'person']"
2008_000309.jpg,train,"['tvmonitor', 'tvmonitor']"
2008_000311.jpg,train,"['person', 'person', 'diningtable', 'person', 'person']"
2008_000313.jpg,train,['person']
2008_000315.jpg,train,"['car', 'car', 'bus', 'person', 'person', 'motorbike']"
2008_000316.jpg,train,['person']
2008_000318.jpg,train,['bird']
2008_000330.jpg,train,"['dog', 'person']"
2008_000335.jpg,train,"['cow', 'cow', 'cow', 'cow']"
2008_000336.jpg,train,['dog']
2008_000338.jpg,train,"['person', 'person', 'diningtable']"
2008_000342.jpg,train,['person']
2008_000343.jpg,train,"['person', 'train', 'person']"
2008_000346.jpg,train,"['person', 'car', 'car']"
2008_000348.jpg,train,"['tvmonitor', 'tvmonitor']"
2008_000350.jpg,train,"['bird', 'bird']"
2008_000356.jpg,train,['car']
2008_000361.jpg,train,['bird']
2008_000364.jpg,train,"['person', 'person']"
2008_000365.jpg,train,['person']
2008_000371.jpg,train,"['horse', 'horse', 'person']"
2008_000380.jpg,train,"['person', 'person', 'person']"
2008_000392.jpg,train,"['person', 'person', 'person']"
2008_000393.jpg,train,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'motorbike', 'motorbike', 'person', 'person', 'bottle', 'bottle', 'bottle', 'bottle']"
2008_000397.jpg,train,"['chair', 'diningtable', 'chair', 'chair', 'chair']"
2008_000399.jpg,train,['car']
2008_000400.jpg,train,['bird']
2008_000405.jpg,train,"['boat', 'boat', 'boat']"
2008_000415.jpg,train,['person']
2008_000416.jpg,train,"['person', 'person']"
2008_000421.jpg,train,"['person', 'person', 'bottle', 'sofa', 'person']"
2008_000422.jpg,train,['person']
2008_000426.jpg,train,['person']
2008_000428.jpg,train,['horse']
2008_000432.jpg,train,"['person', 'chair']"
2008_000435.jpg,train,"['diningtable', 'person', 'person', 'person']"
2008_000436.jpg,train,['person']
2008_000437.jpg,train,"['boat', 'boat']"
2008_000442.jpg,train,"['person', 'person']"
2008_000443.jpg,train,['person']
2008_000445.jpg,train,['person']
2008_000447.jpg,train,"['person', 'person']"
2008_000448.jpg,train,"['person', 'person']"
2008_000455.jpg,train,['person']
2008_000461.jpg,train,"['person', 'person', 'person', 'person', 'person']"
2008_000470.jpg,train,['train']
2008_000471.jpg,train,"['boat', 'boat', 'boat', 'boat', 'boat', 'boat']"
2008_000480.jpg,train,"['person', 'person', 'person', 'person']"
2008_000488.jpg,train,"['car', 'pottedplant', 'pottedplant']"
2008_000491.jpg,train,"['pottedplant', 'pottedplant', 'pottedplant']"
2008_000493.jpg,train,"['person', 'person', 'person', 'sofa', 'diningtable', 'chair']"
2008_000495.jpg,train,"['tvmonitor', 'chair', 'bottle']"
